GO	obs	exp	oddsratio	p_val	pval_adj
transcription	299	85.87807097361237	3.48168044077135	5.126719416863972e-22	6.992845284602458e-19
regulation of transcription	310	93.60567246111619	3.3117651083461213	1.626056448673861e-21	2.2163149395424724e-18
DNA binding	267	93.51232876712328	2.855238485878355	8.643696805465635e-16	1.1772715049044194e-12
RNA polymerase II transcription factor activity	138	26.76593886462882	5.155806441087219	3.1573576445554273e-15	4.297163754239936e-12
DNA binding transcription factor activity	129	26.91528384279476	4.792815886819391	1.2024281700336104e-13	1.63530231124571e-10
nucleus	675	378.6620209059234	1.7825922926865176	1.0303886743760395e-12	1.4002982084770378e-09
protein binding	1119	693.4918918918919	1.6135732992454948	3.044154221717398e-10	4.1339614330922263e-07
regulation of transcription from RNA polymerase II promoter	110	30.149606299212596	3.648472185949334	1.3244536655163754e-09	1.7972836241057214e-06
transcription from RNA polymerase II promoter	82	17.385416666666668	4.716596764529658	4.364708996175869e-09	5.918545398814479e-06
multicellular organism development	157	61.14362176628011	2.5677248986023167	8.311194806385687e-09	1.1261668962652606e-05
sequence-specific DNA binding	83	18.839270199826238	4.4056908319498245	9.080308407315784e-09	1.2294737583505572e-05
binding	66	11.660899653979238	5.6599406528189915	2.0724176898970166e-08	2.8039811344306634e-05
nucleic acid binding	149	61.450490633363074	2.4247161977760356	8.375510014717579e-08	0.00011323689539898167
positive regulation of transcription from RNA polymerase II promoter	140	55.848	2.5068041827818366	8.86583503441233e-08	0.00011977743131491059
cell junction	112	41.877533039647574	2.6744650859439103	4.4072976824542955e-07	0.0005949851871313299
negative regulation of transcription from RNA polymerase II promoter	95	31.901926444833627	2.9778765920070267	5.178036736141928e-07	0.0006985171557055462
metal ion binding	406	252.53061224489798	1.6077258768385323	5.778182942670669e-07	0.0007788990606720063
cytoplasm	692	478.002493765586	1.4476911920450337	1.975189455876839e-06	0.002660580197066102
protein ubiquitination	66	19.03127715030408	3.4679753480940425	4.611730217697573e-06	0.006207388873020934
nucleoplasm	338	212.22924901185772	1.5926174246656981	4.9893471190115274e-06	0.006710671875070504
GTPase activator activity	48	10.303370786516853	4.6586695747001095	8.357104365716634e-06	0.011231948267523155
RNA polymerase II proximal promoter sequence-specific DNA binding	56	14.688041594454074	3.812625368731563	9.651096631330619e-06	0.01296142277587702
ubiquitin-protein transferase activity	47	10.30942091616249	4.558936955063715	1.230910080689188e-05	0.016518813282848904
RNA polymerase II regulatory region sequence-specific DNA binding	34	5.920689655172414	5.742574257425742	6.115585563916941e-05	0.08201000241212618
transcription factor binding	37	7.394305435720449	5.003850641773629	6.223919978582873e-05	0.0834005277130105
positive regulation of transcription	77	30.755905511811022	2.503584229390681	6.253269846805248e-05	0.08373128324872227
transcriptional activator activity	33	5.924137931034483	5.570430733410943	9.216287165104654e-05	0.12331392226910026
protein phosphorylation	82	35.136842105263156	2.3337327741162373	9.927196257748799e-05	0.13272661396610144
transcriptional activator activity	26	2.9690189328743544	8.757101449275362	0.00011158773778529427	0.14908121768115315
cytoskeleton	170	99.62465753424658	1.7064048620850865	0.00013806961076790277	0.1843229303751502
endocytosis	32	5.927586206896552	5.39848749272833	0.0001384635231713532	0.1847103399105852
