GO	U	pval	pval_adj
extracellular region	2126013.5	1.0307332888212026e-17	5.112437112553165e-15
extracellular space	1490236.0	3.94672514770579e-15	1.953628948114366e-12
immune system process	557687.0	7.52094126516237e-15	3.715344984990211e-12
immune response	374456.0	1.9846018477210973e-12	9.78408710926501e-10
external side of plasma membrane	277733.0	8.102073502714113e-11	3.986220163335343e-08
innate immune response	481667.0	6.905972918536924e-10	3.3908327030016295e-07
blood microparticle	158709.0	2.60259713904957e-09	1.2752725981342892e-06
inflammatory response	410140.5	2.0529609573262585e-08	1.0038979081325404e-05
DNA repair	442073.5	1.6428480350898901e-06	0.0008017098411238664
lipid metabolic process	635854.5	1.7723413071170496e-06	0.0008631302165660031
serine-type endopeptidase activity	215926.0	1.8545797725701524e-06	0.000901325769469094
receptor activity	298861.5	3.299457992501367e-06	0.001600237126363163
cytokine activity	240620.5	3.7001881921175628e-06	0.0017908910849849004
apical plasma membrane	407946.5	4.664109182036546e-06	0.0022527647349236514
cell surface receptor signaling pathway	341658.0	5.948628115595744e-06	0.002867238751717149
integral component of plasma membrane	1397435.0	1.0545132812718937e-05	0.005072208882917809
fatty acid metabolic process	221854.0	1.1233322953425825e-05	0.005391995017644396
cell surface	607691.0	1.2185197789437624e-05	0.005836709741140622
defense response to bacterium	152045.5	1.5006428871915491e-05	0.007173073000775605
centriole	165359.5	1.5253462353210113e-05	0.0072759015424812236
leukocyte migration	195055.0	1.5314937678673635e-05	0.00728991033504865
proteolysis	723157.5	1.9547678772431478e-05	0.009285147416904952
cell-matrix adhesion	151521.0	1.981423941723575e-05	0.009391949483769745
defense response to virus	167999.5	2.1425205247958697e-05	0.010134122082284463
cellular response to DNA damage stimulus	555704.5	3.663180236016434e-05	0.01729021071399757
peroxisome	166859.0	3.7344518684675844e-05	0.01758926830048232
extracellular exosome	2289592.5	3.857300380555284e-05	0.018129311788609836
viral entry into host cell	119226.5	6.056933838641545e-05	0.028407019703228845
lipid catabolic process	155496.0	7.5408277554833e-05	0.03529107389566185
cellular protein metabolic process	232687.5	9.584346547396411e-05	0.04475889837634124
integral component of membrane	3795405.0	0.0001466073385348611	0.06831901975724528
metallopeptidase activity	262699.5	0.00017466406441403316	0.08121878995252542
serine-type peptidase activity	163304.0	0.0001901536650377189	0.08823130057750157
platelet degranulation	169293.5	0.00023693785372522845	0.10970222627478077
cilium	333139.0	0.0002563697064456958	0.11844280437791145
peptidase activity	606209.5	0.00026327366205302136	0.12136915820644284
neutrophil degranulation	502333.0	0.0002924026437272973	0.13450521611455676
cell adhesion	622631.0	0.00033165972269759685	0.15223181271819697
ciliary basal body-plasma membrane docking	141722.0	0.00045733257503806704	0.2094583193674347
DNA replication	202527.5	0.0005322196815057387	0.24322439444812258
meiotic cell cycle	167200.5	0.0005563926584960587	0.25371505227420277
