GO	U	pval	pval_adj
extracellular space	1616602.0	8.3644349029549515e-22	4.148759711865656e-19
extracellular region	2249085.0	2.7676815916559813e-21	1.3700023878697108e-18
lipid metabolic process	771452.0	3.3515710466661964e-21	1.655676097053101e-18
oxidation-reduction process	881894.0	1.616403767040853e-19	7.968870571511405e-17
integral component of membrane	4148336.5	1.7546882564253233e-18	8.63306622161259e-16
oxidoreductase activity	776906.0	3.198426306069742e-17	1.5704273162802434e-14
extracellular exosome	2512392.5	1.589712586787976e-15	7.789591675261082e-13
immune system process	588061.0	9.116582825838023e-14	4.4580090018347935e-11
immune response	406745.5	2.113818132511975e-13	1.0315432486658437e-10
integral component of plasma membrane	1534272.5	5.365559494254107e-13	2.61302747370175e-10
inflammatory response	458252.0	3.3474076338616255e-12	1.62684011005675e-09
fatty acid metabolic process	267155.5	1.270480102341674e-11	6.161828496357119e-09
innate immune response	515024.5	1.095719447875951e-10	5.303282127719603e-08
mitochondrion	1636167.5	1.5525591892767277e-10	7.498860884206595e-08
serine-type endopeptidase activity	251309.0	1.6209799124042209e-10	7.813123177788344e-08
metabolic process	591510.5	1.6770012405063397e-10	8.066375966835493e-08
mitochondrial inner membrane	497420.5	4.820779333372013e-10	2.313974080018566e-07
blood microparticle	175803.5	5.009391987725973e-10	2.3994987621207413e-07
external side of plasma membrane	289950.0	4.301458623066044e-09	2.0560972218255688e-06
defense response to bacterium	175393.5	3.8773679311168836e-08	1.8495045031427536e-05
catalytic activity	650739.0	7.510550966229618e-08	3.575022259925298e-05
symporter activity	184085.5	1.1281540279852279e-07	5.358731632929832e-05
membrane	4654921.5	1.1518402815500994e-07	5.459722934547471e-05
peroxisome	191136.0	1.1831908030395526e-07	5.596492498377084e-05
cell surface	651809.0	1.208845642734113e-07	5.705751433705013e-05
apical plasma membrane	439963.0	1.394760447832896e-07	6.569321709292939e-05
serine-type peptidase activity	188287.0	4.377683550423633e-07	0.00020575112686991074
hydrolase activity	1716813.0	5.735565382883556e-07	0.0002689980164572388
steroid metabolic process	166059.5	6.619265536394011e-07	0.0003097816271032397
neutrophil degranulation	547792.0	7.65314611594391e-07	0.0003574019236145806
flavin adenine dinucleotide binding	139940.0	1.0173862333435573e-06	0.0004741019847380977
proteolysis	759652.0	2.063047934263655e-06	0.0009593172894325996
lipid catabolic process	174061.5	2.195485678676029e-06	0.0010187053549056775
plasma membrane	3584796.5	3.7347992952465856e-06	0.001729212073699169
cellular protein metabolic process	254140.0	5.000447527985237e-06	0.0023102067579291795
lyase activity	216684.0	5.560330331505295e-06	0.002563312282823941
lysosomal lumen	168004.0	6.541918013974546e-06	0.003009282286428291
extracellular matrix disassembly	131368.0	1.1723092499227593e-05	0.005380899457145465
organelle membrane	138271.5	1.2961179918190235e-05	0.005936220402531127
peptidase activity	641736.5	1.3658786481651403e-05	0.006242065422114691
endoplasmic reticulum lumen	408433.5	1.976257297159231e-05	0.009011733275046093
mitochondrial matrix	414288.5	2.2082361364036082e-05	0.010047474420636417
iron ion binding	188899.0	2.3440586765104155e-05	0.010642026391357286
sodium ion transport	198539.5	2.854295755574407e-05	0.012929959772752063
response to lipopolysaccharide	234946.0	3.355466786474213e-05	0.015166709874863444
cytokine activity	246450.0	5.706533051072758e-05	0.025736464060338138
calcium ion binding	745245.0	7.310136651968555e-05	0.032895614933858494
viral entry into host cell	127146.5	7.74650251021016e-05	0.034781796270843615
receptor-mediated endocytosis	201217.5	0.00011038073886538185	0.04945057101169107
collagen catabolic process	129319.0	0.00013377509523164694	0.05979746756854618
carbohydrate binding	200219.5	0.00015124363517080713	0.06745466128617998
cholesterol metabolic process	146141.0	0.00015770467698895152	0.07017858126008343
platelet degranulation	179828.5	0.0001690335780332984	0.0750509086467845
defense response to virus	173094.5	0.0001696699704859024	0.07516379692525477
specific granule membrane	145909.0	0.00017189874862060596	0.07597924689030784
basolateral plasma membrane	248702.5	0.0001936815609699187	0.08541356838773415
cell adhesion	643871.0	0.00022013927156915722	0.09686127949042918
acrosomal vesicle	127951.0	0.00023044801170057927	0.10116667713655429
cell-matrix adhesion	155230.5	0.00023699932499740122	0.10380570434886173
leukocyte migration	198611.5	0.00024798414025406095	0.10836906929102463
cell surface receptor signaling pathway	343731.0	0.0002504039944915022	0.10917614159829495
collagen binding	126910.5	0.0003440860927214965	0.149677450333851
heme binding	143976.0	0.0003460065227853111	0.15016683088882501
endoplasmic reticulum	1461797.0	0.0003484528999621313	0.15088010568360286
chemotaxis	174175.0	0.00035611344793061434	0.1538410095060254
transmembrane transporter activity	164038.5	0.0003679882658394434	0.1585004380236646
carbohydrate metabolic process	265652.5	0.0003677504362498018	0.1585004380236646
transmembrane transport	658207.5	0.0003764073057638413	0.16147873417268793
extracellular matrix organization	301897.0	0.0005969737093605288	0.2555047476063063
centriole	164072.5	0.0010306258423944756	0.4400772347024411
adaptive immune response	173799.5	0.001084849890211202	0.46214605322997204
cilium	339579.0	0.0011611256554539824	0.4934784035679425
receptor activity	292091.5	0.0012771574880448009	0.5415147749309955
collagen trimer	136356.0	0.0014478159381059606	0.6124261418188214
extracellular matrix	359960.5	0.001509107344575056	0.6368432994106736
protease binding	136217.5	0.0015133429956277447	0.6371174011592805
intracellular membrane-bounded organelle	840141.5	0.0018140444841190909	0.7618986833300182
lipid transport	142141.0	0.0019057855910019571	0.7985241626298201
homophilic cell adhesion via plasma membrane adhesion molecules	102337.5	0.7382737415697461	1.0
chemical synaptic transmission	148374.0	0.9999967422199031	1.0
spermatid development	123761.0	0.19844538565166092	1.0
positive regulation of neuron projection development	97687.5	0.9906195246665822	1.0
positive regulation of MAPK cascade	105364.5	0.7323351711760602	1.0
perinuclear region of cytoplasm	633728.5	0.9133389362875044	1.0
sensory perception of sound	126930.5	0.885128672057756	1.0
ribosome	153036.5	0.03427272157893402	1.0
neuron migration	85038.0	0.9997674195391142	1.0
lung development	98018.0	0.9812107693631973	1.0
growth cone	89642.0	0.9690493864850476	1.0
GTP binding	280671.5	0.9999929483501485	1.0
actin cytoskeleton organization	126838.5	0.9525796999982543	1.0
microtubule cytoskeleton	138170.5	0.9803921701989322	1.0
protein polyubiquitination	164060.0	0.993988250078864	1.0
postsynaptic membrane	188579.0	0.9999915629659996	1.0
spindle pole	144991.5	0.5624015936569491	1.0
DNA replication	189371.0	0.06820651824599788	1.0
microtubule	292445.0	0.9554722258578952	1.0
protein binding	102492.0	0.40644597908161684	1.0
cadherin binding	225137.0	0.996132066940774	1.0
structural constituent of ribosome	108305.5	0.07235985602479778	1.0
sensory perception of smell	92249.5	0.9954739028364544	1.0
response to stimulus	266370.0	0.33796991417597044	1.0
cytoplasmic vesicle membrane	149897.0	0.9623007094868299	1.0
microtubule binding	218196.0	0.91845860962748	1.0
sarcolemma	118617.0	0.2591028673594633	1.0
spindle	181204.0	0.9306304167151177	1.0
cell cortex	148955.0	0.7050166254445132	1.0
response to nutrient	127225.0	0.03826646570856526	1.0
phosphatidylinositol binding	86021.0	0.8743886351580218	1.0
muscle organ development	89039.0	0.9520074587649063	1.0
actin cytoskeleton	159610.5	0.9999529940450402	1.0
ruffle	120473.5	0.398110985073321	1.0
receptor complex	180781.5	0.3564505654406388	1.0
endocytosis	201154.5	0.6797399288300408	1.0
lipid binding	323821.0	0.10991931605557592	1.0
osteoblast differentiation	88709.0	0.9551536231267022	1.0
cell-cell adhesion	121222.0	0.11701238258744928	1.0
cell-cell signaling	217267.5	0.8179394485051588	1.0
neuronal cell body	321260.5	0.9900927469724481	1.0
phosphatase activity	100239.0	0.7998750091377453	1.0
phosphoprotein phosphatase activity	92102.0	0.9995357773091641	1.0
protein dephosphorylation	121664.5	0.9984482975130803	1.0
late endosome	115805.5	0.9725322607592786	1.0
early endosome	261371.0	0.8670761337715367	1.0
intracellular protein transport	215138.5	0.9990949382715871	1.0
protein sumoylation	76259.5	0.9696640122619169	1.0
positive regulation of I-kappaB kinase/NF-kappaB signaling	202334.5	0.03803298393414571	1.0
nuclear membrane	236275.5	0.9647744949456359	1.0
mitotic cell cycle	94533.5	0.9958170940339335	1.0
protein transport	562045.0	0.999997337773849	1.0
viral process	401768.0	0.8693792106697084	1.0
phospholipid binding	132916.5	0.022102718260883752	1.0
spermatogenesis	394641.0	0.21626859566048806	1.0
T cell receptor signaling pathway	117559.5	0.9023082622325073	1.0
activation of MAPK activity	143277.0	0.3291897227981399	1.0
stimulatory C-type lectin receptor signaling pathway	81692.5	0.9687819875174654	1.0
Fc-epsilon receptor signaling pathway	75899.0	0.9984319509831576	1.0
GTPase activity	176636.5	0.9999999922004924	1.0
secretory granule	109487.0	0.26172557557610365	1.0
actin filament organization	117549.5	0.70706819365147	1.0
cell migration	249864.5	0.5308244867314198	1.0
lamellipodium	176174.5	0.8939445472255214	1.0
vesicle	177703.0	0.09776618458177788	1.0
midbody	122564.0	0.9786557433173914	1.0
transcription regulatory region DNA binding	202439.0	0.9999985102156904	1.0
transcriptional activator activity	105471.5	0.999999726751269	1.0
mRNA transport	64588.5	0.9976695672910694	1.0
cell body	85868.0	0.7191305779160008	1.0
regulation of lipid metabolic process	105831.0	0.06302036309552361	1.0
protein kinase binding	345857.0	0.9702847478008478	1.0
G2/M transition of mitotic cell cycle	133474.5	0.7403167394217638	1.0
myelin sheath	132359.0	0.49795004012307803	1.0
enzyme binding	351079.0	0.4402180876527692	1.0
brain development	234192.5	0.9451247117433427	1.0
skeletal system development	129256.5	0.9723577945274935	1.0
positive regulation of NF-kappaB transcription factor activity	153986.5	0.13552687732248997	1.0
voltage-gated potassium channel complex	85703.5	0.927613152031201	1.0
mitochondrial membrane	132281.5	0.025500203264755765	1.0
response to hypoxia	168902.5	0.359357257881485	1.0
nuclear matrix	109095.0	0.49357020690970266	1.0
regulation of cell cycle	108875.5	0.9657336929145048	1.0
DNA binding	1205522.0	1.0	1.0
Ras guanyl-nucleotide exchange factor activity	104272.0	0.839088629609357	1.0
anchored component of membrane	123174.5	0.003911009350341587	1.0
methyltransferase activity	209260.0	0.054639933171156375	1.0
methylation	209260.0	0.054639933171156375	1.0
