GO	obs	exp	oddsratio	p_val	pval_adj
extracellular exosome	5825	2976.0550353817443	1.9572890725298082	0.0	0.0
lipid metabolic process	1968	793.4484648626387	2.4803123166174363	9.667380731707798e-245	9.891663964683419e-241
plasma membrane	8874	5666.986956177133	1.5659114920543722	1.6472503838575683e-234	1.685301867724678e-230
oxidation-reduction process	1870	759.7862317572534	2.4612185925967824	8.654318853992027e-230	8.853368187633843e-226
oxidoreductase activity	1634	676.3259137105621	2.4159949617120255	4.631990658097366e-195	4.738063244167796e-191
membrane	13010	8990.232906801153	1.4471260238606136	5.387212949308833e-186	5.510041404553074e-182
endoplasmic reticulum	2933	1693.4087060016577	1.7320095199729821	2.6827711996245646e-144	2.743670105856042e-140
integral component of plasma membrane	3102	1840.106668296559	1.6857718378204742	2.6894669160527474e-138	2.7502488683555396e-134
blood microparticle	625	181.11240935762422	3.4508955085781903	3.2967547257533242e-136	3.370931707082774e-132
integral component of membrane	8963	6402.082427875609	1.4000132146024518	9.319889013755272e-136	9.528654527663391e-132
fatty acid metabolic process	772	274.74094348114966	2.809919738275078	3.826861491506779e-124	3.912200502767381e-120
ion transport	1441	701.0497954150878	2.055488796122951	1.1263064145038515e-121	1.151310416905837e-117
transmembrane transport	1468	753.5548470577264	1.9480997378383835	4.956519216157141e-108	5.0660582908342137e-104
metabolic process	1316	665.7004529616725	1.9768651112451148	2.9200536102808095e-101	2.984294789706987e-97
myelin sheath	310	64.56070591069138	4.80168231786114	1.294133232583479e-99	1.3224747503770571e-95
melanosome	353	87.0092762905049	4.057038686558091	6.603081743596624e-95	6.747028925607031e-91
ion transmembrane transport	726	294.0069966268051	2.46932898988639	1.7462238924990854e-93	1.7841169509663156e-89
catalytic activity	1299	681.5785513191879	1.905869833324126	9.368213281572958e-91	9.570566688454933e-87
drug binding	436	133.51383560943174	3.2655791664575613	3.463316472493443e-89	3.537777776652052e-85
lysosomal membrane	924	428.77907971446854	2.154955882211669	4.324115534884725e-89	4.416651607331258e-85
mitochondrion	2578	1669.883712755932	1.5438200757975755	1.1435015094979563e-83	1.1678580916502628e-79
protein homodimerization activity	1464	823.2762006627975	1.7782610487481274	5.60406110551086e-83	5.72286720094769e-79
positive regulation of G-protein coupled receptor protein signaling pathway	155	17.61278989842417	8.800422925266822	3.363127434158471e-81	3.4340894230192148e-77
oleoyl-acyl-carrier-protein hydrolase activity	134	12.039020831094495	11.130473306757935	8.900315158917315e-81	9.087221777254579e-77
3-oxoacyl-acyl-carrier-protein synthase activity	134	12.039020831094495	11.130473306757935	8.900315158917315e-81	9.087221777254579e-77
3-oxo-pimeloyl-acp methyl ester reductase activity	134	12.039020831094495	11.130473306757935	8.900315158917315e-81	9.087221777254579e-77
myristoyl-acyl-carrier-protein hydrolase activity	134	12.039020831094495	11.130473306757935	8.900315158917315e-81	9.087221777254579e-77
enoyl-acyl-carrier-protein reductase (NADPH	134	12.039020831094495	11.130473306757935	8.900315158917315e-81	9.087221777254579e-77
palmitoyl-acyl-carrier-protein hydrolase activity	134	12.039020831094495	11.130473306757935	8.900315158917315e-81	9.087221777254579e-77
3-hydroxyacyl-acyl-carrier-protein dehydratase activity	134	12.039020831094495	11.130473306757935	8.900315158917315e-81	9.087221777254579e-77
3-oxoacyl-acyl-carrier-protein reductase (NADPH) activity	134	12.039020831094495	11.130473306757935	8.900315158917315e-81	9.087221777254579e-77
acyl-carrier-protein S-malonyltransferase activity	134	12.039020831094495	11.130473306757935	8.900315158917315e-81	9.087221777254579e-77
acyl-acyl-carrier-protein hydrolase activity	134	12.039020831094495	11.130473306757935	8.900315158917315e-81	9.087221777254579e-77
3-oxo-glutaryl-acp methyl ester reductase activity	134	12.039020831094495	11.130473306757935	8.900315158917315e-81	9.087221777254579e-77
acyl-carrier-protein S-acetyltransferase activity	134	12.039020831094495	11.130473306757935	8.900315158917315e-81	9.087221777254579e-77
phosphopantetheine binding	134	12.039020831094495	11.130473306757935	8.900315158917315e-81	9.087221777254579e-77
3-hydroxypalmitoyl-acyl-carrier-protein dehydratase activity	134	12.039020831094495	11.130473306757935	8.900315158917315e-81	9.087221777254579e-77
fatty acid synthase activity	134	12.039020831094495	11.130473306757935	8.900315158917315e-81	9.087221777254579e-77
enoyl-acyl-carrier-protein reductase (NADPH	134	12.039020831094495	11.130473306757935	8.900315158917315e-81	9.087221777254579e-77
3-hydroxyoctanoyl-acyl-carrier-protein dehydratase activity	134	12.039020831094495	11.130473306757935	8.900315158917315e-81	9.087221777254579e-77
neutrophil degranulation	1099	570.2088303936283	1.9273640487842583	6.804445289514123e-80	6.935771083601745e-76
glycogen granule	135	13.054367745876604	10.341366401497426	4.027949955213255e-78	4.1052865943533496e-74
pantothenate metabolic process	139	14.285738527893658	9.729983488679649	1.3288904521313957e-77	1.3542722597671053e-73
receptor-mediated endocytosis	776	357.31628427050856	2.171745409208734	9.824726625914514e-77	1.001139643180689e-72
symporter activity	408	132.86416578343926	3.0708054169023713	1.0173013559927712e-76	1.0365283516210346e-72
regulation of cholesterol biosynthetic process	274	65.81138066918606	4.163413640830835	2.441294519442814e-76	2.487190856408339e-72
anion transmembrane transporter activity	90	3.776512495759358	23.831511242465346	2.6212560166962087e-76	2.6702735042084276e-72
inorganic anion exchanger activity	90	3.776512495759358	23.831511242465346	2.6212560166962087e-76	2.6702735042084276e-72
sodium:bicarbonate symporter activity	90	3.776512495759358	23.831511242465346	2.6212560166962087e-76	2.6702735042084276e-72
sodium ion transport	440	153.01463393132633	2.875541957623962	8.749535160258296e-75	8.910526607207048e-71
auditory receptor cell development	74	1.8892934478411063	39.16808163631739	3.250737345579053e-73	3.31022583900315e-69
NADPH binding	148	18.669623169629535	7.927315867882983	1.5038390225149602e-72	1.5312088927247324e-68
endoplasmic reticulum membrane	1708	1045.5280530194325	1.6336242677251767	6.301384495027569e-72	6.4154395543875675e-68
muscle filament sliding	99	6.534683698915975	15.149929906542056	5.231182565925969e-70	5.325343852112637e-66
fatty-acyl-CoA biosynthetic process	147	19.395962427635293	7.578896924988624	6.57964693005243e-70	6.697422610100368e-66
cellular response to interleukin-4	140	17.477955257106167	8.010090307507737	3.274289535248757e-69	3.332571888976185e-65
lysosomal lumen	517	208.75722377786803	2.476561005381655	7.840137691183323e-68	7.978908128317268e-64
iron ion binding	435	160.0436919716002	2.7180077805077807	1.365963586082688e-67	1.3900045451977434e-63
lysosome	938	491.6921942719271	1.9076975614570064	6.568663735857828e-67	6.683615351235341e-63
transmembrane transporter activity	360	118.82017800446432	3.029788425215741	1.1234598574481173e-66	1.1430080589677145e-62
acetyl-CoA metabolic process	158	24.683568103012888	6.401019469333303	2.6989327860295565e-66	2.7456243232278678e-62
positive regulation of cellular metabolic process	158	24.683568103012888	6.401019469333303	2.6989327860295565e-66	2.7456243232278678e-62
negative regulation of endopeptidase activity	445	167.96006168869968	2.649439369847168	3.425022962575262e-66	3.483590855235299e-62
extracellular space	2920	2039.2415108513933	1.4319049433143825	8.215683164983954e-66	8.355349778788682e-62
positive regulation of type IIa hypersensitivity	114	11.213366137139705	10.166438748702003	1.2464286656952235e-65	1.2674933101454728e-61
C5L2 anaphylatoxin chemotactic receptor binding	114	11.213366137139705	10.166438748702003	1.2464286656952235e-65	1.2674933101454728e-61
positive regulation of apoptotic cell clearance	114	11.213366137139705	10.166438748702003	1.2464286656952235e-65	1.2674933101454728e-61
