GO	obs	exp	oddsratio	p_val	pval_adj
homophilic cell adhesion via plasma membrane adhesion molecules	166	15.918177660912313	10.428329393987056	4.0174443394678755e-102	6.63681804880093e-99
tissue homeostasis	85	4.172160595920901	20.37313714220494	1.4007866291845544e-76	2.3126987247836993e-73
ruffle assembly	42	0.27476643969132863	152.8570958199357	1.6242189585132516e-72	2.6799612815468653e-69
endoplasmic reticulum organization	72	3.670742160105972	19.61456208570133	3.649586132703539e-64	6.018167532828136e-61
cell adhesion	249	66.30530581740372	3.755355577209974	9.004228198644166e-61	1.4838968071365587e-57
drug binding	88	7.949823538437932	11.069428091644308	6.917707373595672e-58	1.1393464044312073e-54
calcium ion binding	261	74.99863867593322	3.4800631665832342	1.9813341327650337e-57	3.261275982531246e-54
skeletal system morphogenesis	50	1.766468997661082	28.30505379160529	1.1885514746326704e-52	1.9551671757707428e-49
head morphogenesis	50	1.9637230470093272	25.461838967642628	1.6634184901772573e-50	2.734659997851411e-47
odontogenesis of dentin-containing tooth	53	2.4260440465775996	21.846264528777482	3.970655604515128e-50	6.523787158218355e-47
face morphogenesis	50	2.2684697130110347	22.041290528685487	1.380420071336917e-47	2.2666497571352174e-44
vitamin D metabolic process	66	5.50065601813305	11.998568858410588	4.117120354041411e-46	6.756194500981955e-43
lipoprotein transport	69	7.347510075863656	9.390936424389928	1.4878158095819083e-41	2.4400179277143296e-38
endocytic vesicle	70	7.7938819605341845	8.98140366436885	6.235916461951143e-41	1.0220667081137923e-37
substantia nigra development	51	3.4929860372349846	14.600688195241435	4.523127167035603e-40	7.408882299604318e-37
clathrin-coated pit	67	8.373012094762915	8.001899345386905	2.372583128807132e-36	3.883918581857275e-33
brush border membrane	68	8.813350315356743	7.7155675840450835	6.214766988093065e-36	1.0167358792520254e-32
regulation of protein kinase C signaling	34	1.3973677063057355	24.33146253958227	2.522027315447545e-34	4.123514660756737e-31
positive regulation of protein kinase A signaling	34	1.5367992315190373	22.123904868427715	5.133329969563386e-33	8.387861170266572e-30
adenylate cyclase binding	34	1.6762556134388626	20.283302694061383	7.999916909939045e-32	1.306386431393046e-28
apical plasma membrane	143	43.48467390006958	3.2885149450269004	3.1249470546013784e-31	5.09991359310945e-28
extrinsic component of external side of plasma membrane	38	2.5336100430919766	14.998361765895677	9.39484109991646e-31	1.5322985833963746e-27
regulation of Rho protein signal transduction	69	11.326125028120362	6.092110040167105	1.8563786012145173e-30	3.025897119979663e-27
endothelial cell morphogenesis	42	3.4316402874844543	12.239045028460101	2.0462273021907382e-30	3.3333042752687124e-27
Rho guanyl-nucleotide exchange factor activity	69	11.444486845777492	6.029103875938128	3.355430793362869e-30	5.4626413315947504e-27
regulation of protein kinase A signaling	34	1.891022783713911	17.979688183991648	3.5753053730623695e-30	5.817021841972475e-27
collagen type VI trimer	30	1.4808198326156214	20.259047953868905	2.8508898582903244e-28	4.6355469095800675e-25
bone development	53	7.219573703125732	7.341153671864797	1.717322465448754e-27	2.790649006354225e-24
receptor-mediated endocytosis	90	21.53644124287711	4.178963412990356	2.2297801831145734e-27	3.621163017378067e-24
brush border	65	11.43268930931521	5.685451449033853	3.225707322028223e-27	5.235322983651806e-24
cobalamin transport	35	2.631513377145171	13.3003314001657	8.457653375511384e-27	1.3718313775079465e-23
apical part of cell	70	13.775747342481226	5.081394007868898	2.1356237829414626e-26	3.461846152148111e-23
cobalamin binding	35	2.773291424202523	12.620383020174112	4.492098028639901e-26	7.27719880639664e-23
high-density lipoprotein particle clearance	35	2.9793584509704796	11.74749550145579	4.350742047770411e-25	7.043851375340296e-22
negative regulation of programmed cell death	27	1.3991800982863545	19.297015468607825	4.377922919288045e-25	7.083479283408057e-22
low-density lipoprotein receptor activity	47	6.392360332539545	7.35252669671203	1.2560832395468515e-24	2.0310865983472586e-21
COPII vesicle coating	52	8.435232527405066	6.164619627385278	1.0990173567720253e-23	1.776012048543593e-20
positive regulation of oligodendrocyte progenitor proliferation	30	2.2977970525457603	13.055983324011404	5.319276388230558e-23	8.590631366992351e-20
steroid hormone receptor binding	30	2.2977970525457603	13.055983324011404	5.319276388230558e-23	8.590631366992351e-20
positive regulation of lysosomal protein catabolic process	30	2.2977970525457603	13.055983324011404	5.319276388230558e-23	8.590631366992351e-20
folic acid import across plasma membrane	30	2.2977970525457603	13.055983324011404	5.319276388230558e-23	8.590631366992351e-20
ruffle	55	9.938368138284781	5.534107736271903	8.030305789465567e-23	1.2936822626829028e-19
adenylate cyclase-inhibiting G-protein coupled receptor signaling pathway	35	3.5380065019229545	9.892576506283136	9.536990522272995e-23	1.5354554740859524e-19
neuron projection arborization	30	2.348886388246035	12.772009812872072	9.692248149875637e-23	1.55948272731499e-19
plasma membrane	576	342.2652281725438	1.682905397885248	1.9914669539817613e-22	3.202278862002672e-19
cobalamin metabolic process	35	3.684385000828754	9.49955012631069	3.35832165066533e-22	5.396822892619185e-19
protein transport	143	54.903615288376784	2.6045643670076024	5.24924427627695e-22	8.430286307700782e-19
multicellular organism growth	53	10.251933126279564	5.16975670316665	8.456719827103585e-21	1.3573035322501254e-17
endosome lumen	30	2.7799462261305896	10.791575649201329	9.309237410453346e-21	1.4932016806367166e-17
ventricular compact myocardium morphogenesis	30	2.824398849733318	10.621729293946082	1.4261729357419264e-20	2.286155215994308e-17
secondary heart field specification	30	2.8977511830289506	10.35285575093501	2.838114481432379e-20	4.5466593992546717e-17
outflow tract septum morphogenesis	30	2.915534599209889	10.289708106406973	3.3438056036799456e-20	5.353432771491593e-17
basal ectoplasmic specialization	22	1.2185695271691392	18.05395548591161	3.731759864440178e-20	5.970815783104285e-17
vitamin metabolic process	30	2.937764436011441	10.211846679147138	4.098190978114403e-20	6.553007374004931e-17
chaperone binding	45	7.629032372603799	5.898519996008543	4.864643770971272e-20	7.773700746012093e-17
protein targeting	38	5.275092957890289	7.203664523704934	5.634905775353552e-20	8.998944523239623e-17
receptor activity	79	22.687526627218933	3.4820895771521094	9.237153776877463e-20	1.474249742789643e-16
lipoprotein transporter activity	34	4.337322452542993	7.838937586958894	3.9360411657591687e-19	6.277985659385874e-16
acyl-carrier-protein S-acetyltransferase activity	18	0.7412600464924238	24.282976109631687	6.225564839698033e-19	9.923550354478664e-16
3-hydroxypalmitoyl-acyl-carrier-protein dehydratase activity	18	0.7412600464924238	24.282976109631687	6.225564839698033e-19	9.923550354478664e-16
3-oxo-glutaryl-acp methyl ester reductase activity	18	0.7412600464924238	24.282976109631687	6.225564839698033e-19	9.923550354478664e-16
acyl-carrier-protein S-malonyltransferase activity	18	0.7412600464924238	24.282976109631687	6.225564839698033e-19	9.923550354478664e-16
3-oxoacyl-acyl-carrier-protein reductase (NADPH) activity	18	0.7412600464924238	24.282976109631687	6.225564839698033e-19	9.923550354478664e-16
oleoyl-acyl-carrier-protein hydrolase activity	18	0.7412600464924238	24.282976109631687	6.225564839698033e-19	9.923550354478664e-16
fatty acid synthase activity	18	0.7412600464924238	24.282976109631687	6.225564839698033e-19	9.923550354478664e-16
3-hydroxyoctanoyl-acyl-carrier-protein dehydratase activity	18	0.7412600464924238	24.282976109631687	6.225564839698033e-19	9.923550354478664e-16
enoyl-acyl-carrier-protein reductase (NADPH	18	0.7412600464924238	24.282976109631687	6.225564839698033e-19	9.923550354478664e-16
enoyl-acyl-carrier-protein reductase (NADPH	18	0.7412600464924238	24.282976109631687	6.225564839698033e-19	9.923550354478664e-16
myristoyl-acyl-carrier-protein hydrolase activity	18	0.7412600464924238	24.282976109631687	6.225564839698033e-19	9.923550354478664e-16
3-oxo-pimeloyl-acp methyl ester reductase activity	18	0.7412600464924238	24.282976109631687	6.225564839698033e-19	9.923550354478664e-16
3-hydroxyacyl-acyl-carrier-protein dehydratase activity	18	0.7412600464924238	24.282976109631687	6.225564839698033e-19	9.923550354478664e-16
acyl-acyl-carrier-protein hydrolase activity	18	0.7412600464924238	24.282976109631687	6.225564839698033e-19	9.923550354478664e-16
3-oxoacyl-acyl-carrier-protein synthase activity	18	0.7412600464924238	24.282976109631687	6.225564839698033e-19	9.923550354478664e-16
phosphopantetheine binding	18	0.7412600464924238	24.282976109631687	6.225564839698033e-19	9.923550354478664e-16
palmitoyl-acyl-carrier-protein hydrolase activity	18	0.7412600464924238	24.282976109631687	6.225564839698033e-19	9.923550354478664e-16
endocytosis	81	24.58025292457505	3.2953281745533687	7.3982230232156125e-19	1.1666997707611021e-15
protein localization involved in establishment of planar polarity	18	0.7546627149656536	23.851715002004862	8.411423920705568e-19	1.3256404099031976e-15
orthogonal dichotomous subdivision of terminal units involved in lung branching morphogenesis	18	0.7546627149656536	23.851715002004862	8.411423920705568e-19	1.3256404099031976e-15
planar dichotomous subdivision of terminal units involved in lung branching morphogenesis	18	0.7546627149656536	23.851715002004862	8.411423920705568e-19	1.3256404099031976e-15
lateral sprouting involved in lung morphogenesis	18	0.7546627149656536	23.851715002004862	8.411423920705568e-19	1.3256404099031976e-15
establishment of planar polarity of embryonic epithelium	18	0.7546627149656536	23.851715002004862	8.411423920705568e-19	1.3256404099031976e-15
neural tube closure	56	12.800765267950664	4.374738449443133	1.0982899714077423e-18	1.7254135450815632e-15
vagina development	30	3.3936148665396626	8.840131004786008	1.895466814096808e-18	2.9758828981319884e-15
coronary artery morphogenesis	30	3.4114095186025066	8.794018963835683	2.175724696011284e-18	3.4137120480417045e-15
glycogen granule	18	0.8038077784565261	22.393413552881572	2.4249374055666577e-18	3.8023018519285195e-15
establishment of body hair planar orientation	18	0.8395515634191592	21.44001724765203	5.029142814258416e-18	7.880666789942939e-15
pulmonary artery morphogenesis	30	3.6027275006693382	8.327024454229859	9.12543875406344e-18	1.4290437088863346e-14
positive regulation of neurogenesis	30	3.624976803024744	8.275915027916172	1.0721383455732342e-17	1.6778965108221116e-14
pantothenate metabolic process	18	0.8797652548964152	20.460003279078514	1.101089978592108e-17	1.722104726518057e-14
coronary vasculature development	30	3.6539018385092463	8.210401189168149	1.3198703222049388e-17	2.0629573136063193e-14
aorta development	30	3.6761525907792736	8.160705862767404	1.5468009906423414e-17	2.4161031473833372e-14
lysosomal lumen	54	12.75086676784302	4.235006214337131	1.6588568931386046e-17	2.5894756101893616e-14
Golgi apparatus	196	96.79719499922939	2.0248520631363376	1.7588743415653225e-17	2.743843972841903e-14
establishment of planar polarity	18	0.9490269671724278	18.966795067615394	3.9099324120326945e-17	6.09558463035897e-14
lysosome	86	29.90809168491131	2.875476005157065	1.6835322909756933e-16	2.6229433093401303e-13
vesicle-mediated transport	60	16.551152418693555	3.6251252167935766	3.0406790946516134e-16	4.734337350372562e-13
cellular response to interleukin-4	18	1.0763949978926883	16.722485737335727	3.189605171487483e-16	4.963025646834524e-13
metal ion transport	31	4.5348454502545	6.835955125716633	5.158545625865469e-16	8.021538448220804e-13
positive regulation of cellular metabolic process	20	1.519300062388327	13.163956544936994	6.064830836252448e-16	9.424747119536305e-13
acetyl-CoA metabolic process	20	1.519300062388327	13.163956544936994	6.064830836252448e-16	9.424747119536305e-13
in utero embryonic development	55	14.439339210819139	3.809038571431959	6.60275553232173e-16	1.0247476586163326e-12
planar cell polarity pathway involved in neural tube closure	18	1.1367343908010212	15.834833665334928	7.891011370454086e-16	1.2238958635574287e-12
NADPH binding	18	1.15014377062327	15.650217355214373	9.5850352924407e-16	1.4856804703283083e-12
guanyl-nucleotide exchange factor activity	65	19.69377179471029	3.3005358586240385	1.441284029092252e-15	2.232548961063898e-12
fatty-acyl-CoA biosynthetic process	18	1.194843347114393	15.064736346794671	1.802473220181812e-15	2.790228544841445e-12
microtubule minus-end binding	23	2.459792763716664	9.350381194409149	5.06144015892135e-15	7.830047925851329e-12
hair follicle development	22	2.334086344315687	9.425529631145677	1.660831956757811e-14	2.5676462051475758e-11
focal adhesion	82	31.295511984582188	2.620184007227538	9.38738491681454e-14	1.4503509696478465e-10
osteoblast differentiation	36	7.59752569530348	4.738384764167882	1.2646914770302933e-13	1.9526836405347728e-10
negative regulation of BMP signaling pathway	30	5.5229349600529885	5.431894493958005	4.659468379202712e-13	7.189559709109785e-10
chromatoid body	25	3.859781159545544	6.477051150470804	9.76764575374767e-13	1.5061709752278906e-09
G-protein coupled receptor signaling pathway	120	57.083885287485906	2.1021694545782212	1.099792194229679e-12	1.6947797713079355e-09
auditory receptor cell development	8	0.11679001317329382	68.4990076003292	1.4996038634911227e-12	2.309389949776329e-09
transporter activity	47	13.552895520600618	3.467893626757415	1.7828786214643665e-12	2.74385019843366e-09
protein kinase A binding	34	7.538114146457848	4.510411933199044	2.1621508356345774e-12	3.32538798520598e-09
heterophilic cell-cell adhesion via plasma membrane cell adhesion molecules	29	5.504142147789791	5.268759276437848	2.294459488670623e-12	3.5265842340867475e-09
regulation of molecular function	63	22.372982607585897	2.8158963471700416	2.997483901984178e-12	4.604135273447698e-09
clathrin-coated vesicle membrane	34	7.776804191801331	4.37197583498944	4.91265570961792e-12	7.540926514263508e-09
retinoid metabolic process	39	10.050411872394237	3.8804379855439013	4.983067928242323e-12	7.644026201923723e-09
