GO	obs	exp	oddsratio	p_val	pval_adj
immune system process	5426	2206.659980342323	2.458919837372614	0.0	0.0
basal ectoplasmic specialization	739	63.01435791099537	11.727485996823145	0.0	0.0
innate immune response	4627	1909.9193383719094	2.422615399006451	0.0	0.0
defense response to virus	1894	715.6766729455449	2.6464464633236866	6.195902743006259e-247	5.742982252492502e-243
regulation of complement activation	1281	397.46186326934964	3.2229507240343698	5.281835280164524e-227	4.895204937656481e-223
positive regulation of double-strand break repair via nonhomologous end joining	502	56.37644543006494	8.904428013694686	2.3179962208913976e-221	2.148087097900058e-217
RNA polymerase III transcriptional preinitiation complex assembly	676	126.10830333597093	5.360471770039101	1.5183324175131463e-208	1.4068868180676813e-204
TFIIIC-class transcription factor binding	676	127.49500664600907	5.302168436109184	1.290956523793271e-206	1.1960712192944656e-202
complement activation	1023	289.870041672222	3.529167740475863	1.2045712552915397e-204	1.1159148109020824e-200
transcription factor TFIIIB complex	676	134.42922991765045	5.028668247330648	2.778731934008925e-197	2.5739393904724675e-193
TFIIIB-type transcription factor activity	676	134.42922991765045	5.028668247330648	2.778731934008925e-197	2.5739393904724675e-193
NAD+ ADP-ribosyltransferase activity	938	255.8396465165605	3.666359036887128	8.737088960403088e-197	8.0914180862293e-193
ubiquitin-like protein ligase binding	502	68.63243793761936	7.31432563209065	3.950638212986936e-196	3.6582909852259025e-192
positive regulation of chromatin binding	506	75.6833746175142	6.685748390015691	6.904338869061258e-186	6.392727358863819e-182
acrosomal vesicle	1273	455.7460420335399	2.7932222830062794	7.961753470271158e-183	7.370991362777038e-179
regulation of transcription from RNA polymerase III promoter	949	283.7748684193731	3.344200299645747	1.5932092473047903e-177	1.4748338002300443e-173
double-strand break repair	1686	727.2598683131562	2.318290989863905	1.7736065752531262e-172	1.6416502460542937e-168
protein ADP-ribosylation	793	211.1747296705601	3.7551841607047747	1.4648260494339249e-171	1.3556965087510974e-167
positive regulation of tyrosine phosphorylation of STAT protein	1054	354.71433600581435	2.971405136506023	5.0183201912713515e-167	4.6439535050025085e-163
DNA repair	4666	2915.704611846968	1.6002992830759692	5.979002677383183e-165	5.532371177382659e-161
STAT family protein binding	509	91.5277098614507	5.561157389062771	1.6205335000688593e-162	1.4993175942637086e-158
external side of plasma membrane	2237	1135.441382038771	1.9701589490981006	7.75293213731839e-157	7.172237520233243e-153
blood microparticle	1377	581.8291951725729	2.366673950748684	1.8096966275119286e-147	1.673969380448534e-143
regulation of response to interferon-gamma	296	26.74397190494166	11.067914708110584	2.5835327785990034e-147	2.3895094669262183e-143
ADP-D-ribose binding	296	26.74397190494166	11.067914708110584	2.5835327785990034e-147	2.3895094669262183e-143
NAD biosynthesis via nicotinamide riboside salvage pathway	334	40.856576229052685	8.174938549121403	9.265064375128348e-141	8.567405027681184e-137
regulation of immune response	976	350.42435529109844	2.785194537032776	2.81573886016421e-140	2.6034321501078287e-136
adaptive immune response	1295	552.3925606016408	2.3443472855419074	2.4856066799503115e-136	2.297943375614063e-132
site of DNA damage	345	51.041276871969146	6.759235292357412	2.026657505542739e-128	1.8734421981237079e-124
positive regulation of defense response to virus by host	773	254.27507545995482	3.0400148288294893	2.0651032721341377e-127	1.9087749544335837e-123
positive regulation of protein localization to nucleus	528	128.42113406366917	4.111472802741533	3.496931147470841e-127	3.231863766492551e-123
cilium movement	1413	665.2694638083459	2.123951386422065	2.0550306180287252e-120	1.899053794120345e-116
cellular response to DNA damage stimulus	5237	3633.9934284141164	1.4411143286754482	1.034924364834907e-115	9.56270113107454e-112
positive regulation of interleukin-4-mediated signaling pathway	356	64.1215094980127	5.551959128645176	3.542897738800604e-114	3.273283220877878e-110
immune response	2221	1259.7799732977303	1.7630062765532626	1.1264541201701036e-113	1.0406183162131417e-109
receptor activity	2114	1196.7147197417967	1.7665028808671435	4.543736791183919e-109	4.1970496740165865e-105
negative regulation of tyrosine phosphorylation of STAT protein	356	67.9441932111854	5.239594190094718	8.536508969852367e-109	7.884319684555647e-105
DNA damage response	908	365.08763451546037	2.4870740999077823	7.467777936267685e-108	6.896492924143208e-104
natural killer cell activation	405	90.60168854817965	4.470115364181446	9.02035985959207e-107	8.329400294347317e-103
positive regulation of interferon-gamma-mediated signaling pathway	311	51.989373422241705	5.981991694228619	4.542310135595963e-106	4.1939149481957524e-102
transcription from RNA polymerase III promoter	755	275.99318730376626	2.735574770434549	4.835886346012519e-106	4.464490274638758e-102
negative regulation of interferon-gamma-mediated signaling pathway	365	74.65550241265018	4.889123885102295	6.5508951404251316e-105	6.04713130412644e-101
leukocyte migration	1253	597.2292823775808	2.0980217095380587	3.573224237357725e-104	3.2980859710811806e-100
