Species	SisterSpecies	SampleName	Location	SampleSize	k
Equus_caballus	Ceratotherium_simum_simum	up	Diverse	6	8
Canis_familiaris	Ursus_maritimus	dogs	Diverse	238	8
Capra_hircus	Pantholops_hodgsonii	IRCA	Iran	22	8
Capra_hircus	Pantholops_hodgsonii	IRCH	Iran	20	8
Capra_hircus	Pantholops_hodgsonii	AUCH	Australia	5	8
Capra_hircus	Pantholops_hodgsonii	FRCH	France	4	8
Capra_hircus	Pantholops_hodgsonii	ITCH	Italy	5	8
Capra_hircus	Pantholops_hodgsonii	MOCH	Morocco	161	8
Ovis_aries	Pantholops_hodgsonii	IROV	Iran	4	8
Ovis_aries	Pantholops_hodgsonii	MOOA	Morocco	160	8
