study_id,taxonomic group,ITIS taxon,site,country,longitude,latitude,coverage,percent mapped (incl. scaffolds),SRA Sample ID,BioProject Accession
A8518,sabaeus (Barbados),Chlorocebus sabaeus,Hackleton Cliff,Barbados,"-59,522395","13,200256",4,"98,6354175476103",SAMN01162285,PRJNA168527
AG23,hilgerti,Chlorocebus pygerythrus hilgerti,UnknownTanzania,Tanzania,35,-7,"3,7","98,886927402327",SAMN01162251,PRJNA168522
AG5417,hilgerti,Chlorocebus pygerythrus hilgerti,UnknownTanzania,Tanzania,35,-7,"10,3","99,5325180538366","SRR6153278
SRR6153279",PRJNA168521
AGM126,tantalus,Chlorocebus tantalus,Bangui,Central African Republic,"18,5833333333","4,36666666667","4,1","99,7162428835004",SAMN01162265 ,PRJNA168522
AGM127,tantalus,Chlorocebus tantalus,Bangui,Central African Republic,"18,5833333333","4,36666666667","4,5","99,3760838826015",SAMN01162262,PRJNA168522
AGM129,tantalus,Chlorocebus tantalus,Bangui,Central African Republic,"18,5833333333","4,36666666667","4,7","99,551932611653",SAMN01162260,PRJNA168522
AGM130,tantalus,Chlorocebus tantalus,Bangui,Central African Republic,"18,5833333333","4,36666666667","4,6","99,3528463453781",SAMN01162263,PRJNA168522
AGM131,tantalus,Chlorocebus tantalus,Bangui,Central African Republic,"18,5833333333","4,36666666667","4,8","99,7066419722876",SAMN01162275,PRJNA168522
AGM136,tantalus,Chlorocebus tantalus,Bangui,Central African Republic,"18,5833333333","4,36666666667","4,5","98,4518643605698",SAMN01162261,PRJNA168522
AGM137,tantalus,Chlorocebus tantalus,Bangui,Central African Republic,"18,5833333333","4,36666666667","4,6","99,1042092576653",SAMN01162264,PRJNA168522
AGM141,tantalus,Chlorocebus tantalus,Bangui,Central African Republic,"18,5833333333","4,36666666667","10,1","99,4855374811341","SRR6154554
SRR6154555",PRJNA168522
AGM142,tantalus,Chlorocebus tantalus,Bangui,Central African Republic,"18,5833333333","4,36666666667","4,8","99,6758646145949",SAMN01162259,PRJNA168522
AGM143,tantalus,Chlorocebus tantalus,Bangui,Central African Republic,"18,5833333333","4,36666666667",4,"98,4042118558883",SAMN01162267,PRJNA168522
AGM144,tantalus,Chlorocebus tantalus,Bangui,Central African Republic,"18,5833333333","4,36666666667","4,8","99,5680422191175",SAMN01162266,PRJNA168522
B5616,sabaeus (Barbados),Chlorocebus sabaeus,Russia Gulley,Barbados,"-59,559474","13,181203","9,2","98,9641011389622",SRR6154998,PRJNA168527
C2166,sabaeus (Barbados),Chlorocebus sabaeus,Cane Garden,Barbados,"-59,562221","13,218556","4,5","99,6725388678052",SAMN01162270,PRJNA168527
C2265,sabaeus (Barbados),Chlorocebus sabaeus,Horse Hill,Barbados,"-59,534283","13,199504","4,4","99,1136035753174",SAMN01162274,PRJNA168527
C2439,sabaeus (Barbados),Chlorocebus sabaeus,Turner's Hall,Barbados,"-59,584408","13,229585","4,4","99,6523573190287",SAMN01162273,PRJNA168527
V952,sabaeus (St.Kitts/Nevis),Chlorocebus sabaeus,Cunningham-Cayon,Saint Kitts,"-62,7287","17,3549","2,6","99,3240111659345",SAMN06255991,PRJNA362602
VBOA1003,pygerythrus,Chlorocebus pygerythrus pygerythrus,Kasane,Botswana,"25,16","-17,8",4,"99,096850731604",SAMN01162252,PRJNA168521
VBOA1005,pygerythrus,Chlorocebus pygerythrus pygerythrus,Kasane,Botswana,"25,16","-17,8","4,9","99,6355209654113",SAMN01162235,PRJNA168521
VEA1001,aethiops,Chlorocebus aethiops,Awash,Ethiopia,"40,004833333","8,8477166667","4,5","99,5215816521723",SAMN01162211,PRJNA168472
VEA1002,aethiops,Chlorocebus aethiops,Awash,Ethiopia,"40,004833333","8,8477166667","4,6","99,5718154500797",SAMN01162203,PRJNA168472
VEA1003,aethiops,Chlorocebus aethiops,Awash,Ethiopia,"40,004833333","8,8477166667","4,7","99,6727691477509",SAMN01162213,PRJNA168472
VEA1004,aethiops,Chlorocebus aethiops,Awash,Ethiopia,"40,004833333","8,8477166667","4,9","99,6822879208936",SAMN01162199,PRJNA168472
VEA1005,aethiops,Chlorocebus aethiops,Awash,Ethiopia,"40,004833333","8,8477166667","4,6","99,6639701236373",SAMN01162205,PRJNA168472
VEA1007,aethiops,Chlorocebus aethiops,Awash,Ethiopia,"40,004833333","8,8477166667","4,4","99,3734784492616",SAMN01162207,PRJNA168472
VEA1008,aethiops,Chlorocebus aethiops,Awash,Ethiopia,"40,004833333","8,8477166667","4,4","99,6122366164578",SAMN01162216,PRJNA168472
VEB1009,aethiops,Chlorocebus aethiops,Awaasa,Ethiopia,"38,460566667","7,0498666667","6,6","99,6919228416466",SAMN01162214,PRJNA168472
VEB1010,aethiops,Chlorocebus aethiops,Awaasa,Ethiopia,"38,460566667","7,0498666667","6,4","99,6609243625532",SAMN01162217,PRJNA168472
VEB1011,aethiops,Chlorocebus aethiops,Awaasa,Ethiopia,"38,460566667","7,0498666667",2,"99,6491030607277",SAMN01162208,PRJNA168472
VEB1012,aethiops,Chlorocebus aethiops,Awaasa,Ethiopia,"38,460566667","7,0498666667","4,4","99,6567287588209",SAMN01162215,PRJNA168472
VEB1013,aethiops,Chlorocebus aethiops,Awaasa,Ethiopia,"38,460566667","7,0498666667","4,3","99,7227848371937",SAMN01162209,PRJNA168472
VEB1014,aethiops,Chlorocebus aethiops,Awaasa,Ethiopia,"38,460566667","7,0498666667","4,4","98,7089500094861",SAMN01162202,PRJNA168472
VEB1015,aethiops,Chlorocebus aethiops,Awaasa,Ethiopia,"38,460566667","7,0498666667","4,3","99,6560198372956",SAMN01162201,PRJNA168472
VEC1016,aethiops,Chlorocebus aethiops,Lake Tana,Ethiopia,"37,407183333","11,595816667","9,2","99,3150759107762",SAMN05277892,PRJNA168472
VEC1017,aethiops,Chlorocebus aethiops,Lake Tana,Ethiopia,"37,407183333","11,595816667","4,3","99,6712186017778",SAMN01162212,PRJNA168472
VGA00002,sabaeus,Chlorocebus sabaeus,Abuko 1,Gambia,"-16,6522166667","13,3891833333","3,7","98,9511666827198",SAMN07671834,PRJNA407948
VGA00006,sabaeus,Chlorocebus sabaeus,Abuko 2,Gambia,"-16,6533833333","13,389","10,8","99,4335279552419",SAMN01162282,PRJNA168527
VGA00010,sabaeus,Chlorocebus sabaeus,Abuko 3,Gambia,"-16,6536166667","13,3900333333","4,1","99,2834264880569",SAMN07671835,PRJNA407948
VGA00019,sabaeus,Chlorocebus sabaeus,Abuko 6,Gambia,"-16,6506166667","13,3944","3,5","99,1307699483844",SAMN07671836,PRJNA407948
VGA00021,sabaeus,Chlorocebus sabaeus,Abuko 6,Gambia,"-16,6506166667","13,3944","4,2","99,6335729648648",SAMN01162278,PRJNA168527
VGA00025,sabaeus,Chlorocebus sabaeus,ITC/BIJILO,Gambia,"-16,7256333333","13,4351333333","27,8","99,3915911309776",SAMN06255992,PRJNA362602
VGA00085,sabaeus,Chlorocebus sabaeus,ITC/BIJILO 2,Gambia,"-16,72485","13,4336333333","4,3","99,7291018275071",SAMN01162268,PRJNA168527
VGA00090,sabaeus,Chlorocebus sabaeus,Kairaba Hotel,Gambia,"-16,724223","13,441664","4,3","99,3812866847336",SAMN01162287,PRJNA168527
VGA00092,sabaeus,Chlorocebus sabaeus,ITC/BIJILO,Gambia,"-16,7256333333","13,4351333333",4,"99,661447957118",SAMN01162276,PRJNA168527
VGA00098,sabaeus,Chlorocebus sabaeus,Abuko 7,Gambia,"-16,6483666667","13,3962833333","4,3","99,666650390149",SAMN01162279,PRJNA168527
VGA00100,sabaeus,Chlorocebus sabaeus,Abuko 7,Gambia,"-16,6483666667","13,3962833333","4,3","99,2354132893029",SAMN07671837,PRJNA407948
