category	watterson	tajima	fay_wu	pop	species	method	D_tajima	H_fay_wu
$1<S$	0.14180740409857912	0.131405969075872	0.09081625314635024	Barbados	Chlorocebus_sabaeus	MutSel	-0.010401435022707128	0.04058971592952175
$0<S<1$	0.14490674318507893	0.13166480684414686	0.09055741537807536	Barbados	Chlorocebus_sabaeus	MutSel	-0.01324193634093207	0.041107391466071494
Synonymous	0.14364079714982075	0.13142843848874006	0.09079378373348222	Barbados	Chlorocebus_sabaeus	MutSel	-0.012212358661080697	0.040634654755257835
$-1<S<0$	0.1459382143412967	0.13269344709088754	0.08952877513133467	Barbados	Chlorocebus_sabaeus	MutSel	-0.013244767250409156	0.04316467195955287
$-3<S<-1$	0.1472941382291022	0.13574715637752885	0.08647506584469335	Barbados	Chlorocebus_sabaeus	MutSel	-0.011546981851573351	0.0492720905328355
$S<-3$	0.15830529408871394	0.14379290742927106	0.07842931479295115	Barbados	Chlorocebus_sabaeus	MutSel	-0.014512386659442877	0.06536359263631991
$1<S$	0.13518002703021642	0.12045855379188715	0.10176366843033507	Barbados	Chlorocebus_sabaeus	Omega	-0.014721473238329272	0.018694885361552074
$0<S<1$	0.14445263577422074	0.1332033788174139	0.08901884340480833	Barbados	Chlorocebus_sabaeus	Omega	-0.011249256956806841	0.04418453541260557
Synonymous	0.14364079714982075	0.13142843848874006	0.09079378373348222	Barbados	Chlorocebus_sabaeus	Omega	-0.012212358661080697	0.040634654755257835
$-1<S<0$	0.14426090959218096	0.13173354059393114	0.09048868162829107	Barbados	Chlorocebus_sabaeus	Omega	-0.012527368998249827	0.04124485896564006
$-3<S<-1$	0.14653799889416486	0.1347013875359872	0.08752083468623502	Barbados	Chlorocebus_sabaeus	Omega	-0.011836611358177651	0.047180552849752186
$S<-3$	0.1574613758168754	0.14279024095475487	0.07943198126746732	Barbados	Chlorocebus_sabaeus	Omega	-0.014671134862120516	0.06335825968728755
$1<S$	0.13604639849591688	0.09345819733815204	0.03987513599518131	CAR	Chlorocebus_sabaeus	MutSel	-0.042588201157764835	0.05358306134297073
$0<S<1$	0.13438884607754958	0.0936457014856945	0.0396876318476388	CAR	Chlorocebus_sabaeus	MutSel	-0.04074314459185509	0.053958069638055696
Synonymous	0.1303176983045518	0.09228113834343064	0.04105219498990268	CAR	Chlorocebus_sabaeus	MutSel	-0.038036559961121166	0.05122894335352796
$-1<S<0$	0.13344139301967062	0.09314812850083352	0.0401852048324998	CAR	Chlorocebus_sabaeus	MutSel	-0.040293264518837094	0.052962923668333724
$-3<S<-1$	0.14096902590133176	0.0960948886816349	0.03723844465169844	CAR	Chlorocebus_sabaeus	MutSel	-0.04487413721969685	0.058856444029936464
$S<-3$	0.15908585746483878	0.10168872875717314	0.03164460457616021	CAR	Chlorocebus_sabaeus	MutSel	-0.05739712870766564	0.07004412418101293
$1<S$	0.10961614589913858	0.08352874893646774	0.049804584396865616	CAR	Chlorocebus_sabaeus	Omega	-0.026087396962670845	0.03372416453960212
$0<S<1$	0.12935036621239865	0.09211002962060934	0.04122330371272402	CAR	Chlorocebus_sabaeus	Omega	-0.03724033659178931	0.050886725907885316
Synonymous	0.1303601553258168	0.09227522063511336	0.04105811269821998	CAR	Chlorocebus_sabaeus	Omega	-0.03808493469070344	0.05121710793689337
$-1<S<0$	0.13316600563170705	0.09311092942817292	0.040222403905160416	CAR	Chlorocebus_sabaeus	Omega	-0.04005507620353413	0.05288852552301251
$-3<S<-1$	0.1401139268696558	0.09570255755967548	0.03763077577365785	CAR	Chlorocebus_sabaeus	Omega	-0.04441136930998031	0.05807178178601763
$S<-3$	0.15892169718951232	0.10158233064752843	0.031751002685804906	CAR	Chlorocebus_sabaeus	Omega	-0.05733936654198389	0.06983132796172353
$1<S$	0.1350435343426824	0.08969793622654135	0.043635397106791984	Ethiopia	Chlorocebus_sabaeus	MutSel	-0.045345598116141056	0.04606253911974936
$0<S<1$	0.13594979304935742	0.09074809729262473	0.04258523604070859	Ethiopia	Chlorocebus_sabaeus	MutSel	-0.04520169575673269	0.04816286125191614
Synonymous	0.13228290434706086	0.08887394458940362	0.0444593887439297	Ethiopia	Chlorocebus_sabaeus	MutSel	-0.04340895975765724	0.04441455584547392
$-1<S<0$	0.13561024466385976	0.09009933609444866	0.043233997238884665	Ethiopia	Chlorocebus_sabaeus	MutSel	-0.045510908569411104	0.046865338855563994
$-3<S<-1$	0.14015154153095544	0.09234591427853084	0.040987419054802535	Ethiopia	Chlorocebus_sabaeus	MutSel	-0.0478056272524246	0.051358495223728304
$S<-3$	0.15213583890047536	0.09788274312876136	0.03545059020457196	Ethiopia	Chlorocebus_sabaeus	MutSel	-0.054253095771714	0.062432152924189396
$1<S$	0.12343990784295696	0.08602492375270354	0.047308409580629776	Ethiopia	Chlorocebus_sabaeus	Omega	-0.037414984090253414	0.038716514172073765
$0<S<1$	0.1338297257836641	0.08911747915423647	0.04421585417909685	Ethiopia	Chlorocebus_sabaeus	Omega	-0.04471224662942762	0.04490162497513962
Synonymous	0.13230076451230866	0.08890266659131454	0.0444306667420188	Ethiopia	Chlorocebus_sabaeus	Omega	-0.04339809792099411	0.04447199984929574
$-1<S<0$	0.13636967510118966	0.09076914203695567	0.04256419129637767	Ethiopia	Chlorocebus_sabaeus	Omega	-0.04560053306423399	0.048204950740578005
$-3<S<-1$	0.13838540079854406	0.09144078658411396	0.04189254674921938	Ethiopia	Chlorocebus_sabaeus	Omega	-0.046944614214430094	0.049548239834894585
$S<-3$	0.15149444451053712	0.097477106914328	0.03585622641900532	Ethiopia	Chlorocebus_sabaeus	Omega	-0.05401733759620912	0.061620880495322675
$1<S$	0.1362928000164549	0.09212592441458507	0.04120740891874825	Gambia	Chlorocebus_sabaeus	MutSel	-0.04416687560186984	0.05091851549583682
$0<S<1$	0.13658379198857598	0.0930936781743012	0.04023965515903216	Gambia	Chlorocebus_sabaeus	MutSel	-0.04349011381427478	0.052854023015269036
Synonymous	0.13313622740814335	0.0918357970991482	0.04149753623418512	Gambia	Chlorocebus_sabaeus	MutSel	-0.04130043030899515	0.05033826086496308
$-1<S<0$	0.138748470455151	0.0944214117852568	0.03891192154807655	Gambia	Chlorocebus_sabaeus	MutSel	-0.04432705866989421	0.05550949023718025
$-3<S<-1$	0.1492734413848467	0.0976327788459652	0.03570055448736816	Gambia	Chlorocebus_sabaeus	MutSel	-0.051640662538881485	0.06193222435859704
$S<-3$	0.16905247582318692	0.10399604836133	0.029337284972003337	Gambia	Chlorocebus_sabaeus	MutSel	-0.06505642746185691	0.07465876338932667
$1<S$	0.11434566465874535	0.08545258901437837	0.04788074431895495	Gambia	Chlorocebus_sabaeus	Omega	-0.02889307564436698	0.03757184469542342
$0<S<1$	0.13512743366619187	0.09212805586893133	0.04120527746440195	Gambia	Chlorocebus_sabaeus	Omega	-0.04299937779726054	0.05092277840452938
Synonymous	0.13334706235970986	0.0918893715900116	0.041443961743321725	Gambia	Chlorocebus_sabaeus	Omega	-0.041457690769698255	0.05044540984668988
$-1<S<0$	0.13826050411943566	0.09415151320354072	0.039181820129792586	Gambia	Chlorocebus_sabaeus	Omega	-0.044108990915894944	0.05496969307374813
$-3<S<-1$	0.14596042650689742	0.09627995339159026	0.03705337994174305	Gambia	Chlorocebus_sabaeus	Omega	-0.049680473115307155	0.05922657344984721
$S<-3$	0.16635464757602414	0.10315111702007776	0.03018221631325556	Gambia	Chlorocebus_sabaeus	Omega	-0.06320353055594638	0.0729689007068222
$1<S$	0.21450575438385064	0.18432851029142044	0.10138577542286528	Kenya	Chlorocebus_sabaeus	MutSel	-0.030177244092430194	0.08294273486855516
$0<S<1$	0.20979277707909136	0.1833632569875777	0.10235102872670808	Kenya	Chlorocebus_sabaeus	MutSel	-0.02642952009151367	0.08101222826086961
Synonymous	0.20789477659955355	0.1819995357339755	0.10371474998031016	Kenya	Chlorocebus_sabaeus	MutSel	-0.02589524086557804	0.07828478575366535
$-1<S<0$	0.2074888791331194	0.18256833419288296	0.1031459515214028	Kenya	Chlorocebus_sabaeus	MutSel	-0.024920544940236433	0.07942238267148016
$-3<S<-1$	0.21309967968879925	0.18508858267716533	0.10062570303712036	Kenya	Chlorocebus_sabaeus	MutSel	-0.02801109701163393	0.08446287964004497
$S<-3$	0.23315828062653784	0.19626552007343348	0.08944876564085223	Kenya	Chlorocebus_sabaeus	MutSel	-0.036892760553104365	0.10681675443258125
$1<S$	0.20597945629658107	0.18089700996677746	0.10481727574750828	Kenya	Chlorocebus_sabaeus	Omega	-0.02508244632980361	0.07607973421926918
$0<S<1$	0.2065651437144142	0.1798311917359536	0.10588309397833208	Kenya	Chlorocebus_sabaeus	Omega	-0.026733951978460596	0.07394809775762153
Synonymous	0.20789477659955355	0.1819995357339755	0.10371474998031016	Kenya	Chlorocebus_sabaeus	Omega	-0.02589524086557804	0.07828478575366535
$-1<S<0$	0.20755109128536287	0.1819745777991466	0.10373970791513913	Kenya	Chlorocebus_sabaeus	Omega	-0.025576513486216257	0.07823486988400748
$-3<S<-1$	0.21301633488644964	0.18541033434650456	0.10030395136778114	Kenya	Chlorocebus_sabaeus	Omega	-0.02760600053994508	0.08510638297872342
$S<-3$	0.2336163115383896	0.19647022074135775	0.08924406497292793	Kenya	Chlorocebus_sabaeus	Omega	-0.03714609079703185	0.10722615576842982
$1<S$	0.09817156791880766	0.08118137891420188	0.05215195441913146	Nevis	Chlorocebus_sabaeus	MutSel	-0.016990189004605777	0.02902942449507042
