ENSG,ω_lower,ω,ω_upper,ω0_lower,ω0,ω0_upper,category,TR_ID_Homo_sapiens,TR_ID_Chlorocebus_sabaeus,TR_ID_Bos_taurus,TR_ID_Equus_caballus,TR_ID_Ovis_aries,TR_ID_Capra_hircus,TR_ID_Canis_familiaris
ENSG00000000003_TSPAN6,0.135392,0.158549,0.188524,0.17844000000000002,0.20908800000000002,0.24287399999999998,unclassified,ENST00000373020,ENSCSAT00000008471,ENSBTAT00000063874,ENSECAT00000008969,ENSOART00000002464,XM_005700118.3,ENSCAFT00000027757
ENSG00000000005_TNMD,0.0668556,0.0821007,0.0996334,0.10867,0.134518,0.161878,epistasis,ENST00000373031,ENSCSAT00000008475,ENSBTAT00000028045,ENSECAT00000020288,ENSOART00000002520,XM_005700117.2,ENSCAFT00000027750
ENSG00000000457_SCYL3,0.266167,0.28239699999999995,0.305746,0.303275,0.324748,0.345001,unclassified,ENST00000367770,ENSCSAT00000009535,ENSBTAT00000019684,ENSECAT00000023819,ENSOART00000012454,XM_018060290.1,ENSCAFT00000024012
ENSG00000000460_C1orf112,0.28845,0.309343,0.33067399999999997,0.34686,0.36895100000000003,0.389323,epistasis,ENST00000359326,ENSCSAT00000009391,ENSBTAT00000019683,ENSECAT00000009420,ENSOART00000012157,XM_005690629.3,ENSCAFT00000024057
ENSG00000000938_FGR,0.15199200000000002,0.16977899999999999,0.187626,0.151877,0.17256400000000002,0.19141,nearly-neutral,ENST00000374005,ENSCSAT00000017537,ENSBTAT00000015646,ENSECAT00000007886,ENSOART00000003659,XM_018056826.1,ENSCAFT00000019186
ENSG00000001036_FUCA2,0.237891,0.258806,0.282815,0.211866,0.232719,0.254218,unclassified,ENST00000002165,ENSCSAT00000015180,ENSBTAT00000002297,ENSECAT00000006645,ENSOART00000001708,XM_005684863.3,ENSCAFT00000000476
ENSG00000001084_GCLC,0.0682066,0.0784571,0.0910113,0.08906610000000001,0.101797,0.11713599999999999,unclassified,ENST00000229416,ENSCSAT00000011257,ENSBTAT00000049040,ENSECAT00000018896,ENSOART00000007695,XM_013973861.2,ENSCAFT00000003595
ENSG00000001167_NFYA,0.00979824,0.014272700000000001,0.0207411,0.020824099999999998,0.0311908,0.0443422,unclassified,ENST00000341376,ENSCSAT00000009274,ENSBTAT00000013080,ENSECAT00000008287,ENSOART00000000960,XM_018039157.1,ENSCAFT00000002475
ENSG00000001460_STPG1,0.27160500000000004,0.301243,0.33039,0.28876,0.319967,0.34751,nearly-neutral,ENST00000374409,ENSCSAT00000017593,ENSBTAT00000013576,ENSECAT00000006727,ENSOART00000007188,XM_005676845.3,ENSCAFT00000020574
ENSG00000001461_NIPAL3,0.0705192,0.0824822,0.094902,0.076994,0.0912147,0.10766600000000001,nearly-neutral,ENST00000374399,ENSCSAT00000017592,ENSBTAT00000017344,ENSECAT00000024594,ENSOART00000007167,XM_005676843.3,ENSCAFT00000020568
ENSG00000001497_LAS1L,0.351961,0.3827,0.416943,0.34518899999999997,0.36470199999999997,0.38773,nearly-neutral,ENST00000374811,ENSCSAT00000010043,ENSBTAT00000002861,ENSECAT00000023498,ENSOART00000005417,XM_005700854.3,ENSCAFT00000026242
ENSG00000001561_ENPP4,0.186671,0.20463299999999998,0.226212,0.203958,0.22498600000000002,0.24714,nearly-neutral,ENST00000321037,ENSCSAT00000010643,ENSBTAT00000004547,ENSECAT00000009130,ENSOART00000011424,XM_018039003.1,ENSCAFT00000003193
ENSG00000001617_SEMA3F,0.050806300000000006,0.05776950000000001,0.0650967,0.07355160000000001,0.0854206,0.0984824,epistasis,ENST00000002829,ENSCSAT00000012478,ENSBTAT00000024362,ENSECAT00000008682,ENSOART00000011593,XM_018067130.1,ENSCAFT00000017215
ENSG00000001626_CFTR,0.18371099999999999,0.194552,0.20548899999999998,0.195613,0.207709,0.22018200000000002,unclassified,ENST00000003084,Null,ENSBTAT00000053450,ENSECAT00000010680,ENSOART00000019745,XM_013963305.2,ENSCAFT00000005518
ENSG00000001629_ANKIB1,0.10669400000000001,0.11630599999999999,0.126059,0.126332,0.14202599999999999,0.15645,epistasis,ENST00000265742,ENSCSAT00000010671,ENSBTAT00000061475,ENSECAT00000010950,ENSOART00000019545,XM_018047436.1,ENSCAFT00000003120
