CdsId	Chromosome	SeqLength	NbrExons	Ptot	Pn	Ps	Dtot	Dn	Ds	SitesN	SitesS	SFSnLength	SFSsLength	SFSn	SFSs
ENSG00000120279_MYCT1	6	705	2	27	25	2	5	2	3	494	208	25	2	1;2;3;1;10;1;1;2;3;1;1;550;2;1;2;1;2;1;2;4;1;2;1;1;1	15;1
ENSG00000198796_ALPK2	18	6510	12	215	140	75	52	34	18	4479	1713	140	75	1;393;2;1;1;1;1;1;8;1;1;20;1;11;79;1;1;5;3;3;1;1;2;1;361;288;5;1;1;26;1;3;1;1;1;313;1;1660;1;1;1;36;2;1649;1;7;1;1;51;3;1;1;1;7;1;3;5;4;13;39;1;1644;3;1;8;1;1;77;1642;1;1;1;2;27;302;1;1;2024;1009;275;1;44;77;1;3;2025;2024;1;2021;1;2;1;1;2;14;2025;2;3;1;1;1;1;60;59;1;1;12;2;2;1;2;1;1;1;102;7;1;1;3;1;3;1;1;2;1;1;112;12;5;136;1;2418;1;7;3;1;1;15;2;297	1;28;35;1;1;1;1;1;23;1;1;2;1;1;1;1;4;2;4;1868;1;361;348;1;2;1;2;1;1638;1;4;1;1652;1;2;2;1645;3;1644;1;277;1644;3;1;2;2025;1;1;1;27;1690;1;1;65;41;2024;1;4;13;1;1;1870;168;33;6;1;1;2453;1;37;2418;1;31;2;1
ENSG00000119402_FBXW2	9	1362	6	15	6	9	4	0	4	960	402	6	9	1;1;2;1;1;3	1;1;6;1;24;3;1;26;1
ENSG00000132631_SCP2D1	20	468	1	15	8	7	3	0	3	330	138	8	7	1;25;1;3;12;1;1139;10	1;1;1060;1;27;1;1
ENSG00000112139_MDGA1	6	2919	16	87	40	47	58	33	25	2309	547	40	47	7;83;4;1;1;15;5;45;3;1;3;6;1;2;3;36;1;1;1;1;1;1;1;1;1;1;2;1;1;1;1;8;1;1;9;1;1;425;1;1	46;3;2;3;2;1;1;1;15;1;1;5;3;1;15;141;4;2;1;1;1;261;3;1;1;2;1;2;1;2;1;2;3;2;2;1816;1;129;681;3;681;1;1;2;1;77;13
ENSG00000165621_OXGR1	13	1011	1	20	12	8	7	1	6	703	308	12	8	4;1;10;2;1;1;1;1;4;1;1;1	319;13;2;2390;1;1;317;1
ENSG00000154080_CHST9	18	1329	5	33	22	11	10	4	6	1003	326	22	11	1;1;1;1;1;1;1;1;1;4;2;15;2;1;2;57;3;2;6;1;1;1	1;1;1;2;1;15;20;3;2;3;1
ENSG00000096433_ITPR3	6	8013	58	227	109	118	54	13	41	6323	1336	109	118	1;2;1;1;1;1;1;1;1;1;1;5;1;1;22;1;1;1;1;6;1;1;1;1;2;1;1;1;2;4;1;1;2;1;1;1;1;1;1;5;2;1;1;1;9;7;1;4;6;1;1;1;6;2;1;1;1;3;3;2;2;2;1;1;1;3;1;1;1;1;3;1;1;1;6;3;167;2;1;1;1;1;12;1;1;1;2;1;1;2;1;1;1;1;1;13;2;37;2;2105;1;1;1;1;2;1;1;1;1	1;1;4;1;1;4;2;8;1;1;2;2;13;278;1;1;1;7;1;1;1;2;1;1;2;1;2458;1680;1;1;201;3;1;2;3;1;2;1;2379;6;1;1;890;4;1;1;1;4;1;1;1;2;5;10;1;2;11;74;1;92;3;2;1;572;5;432;2;2;1;1;9;1;2;35;945;2;1;2;4;5;1;2;2452;5;7;1;2;6;74;7;3;13;1;1;1;2;1;1;7;1;7;4;1;1;1;1;19;1;89;4;1;1;1;16;1;12;3;1
ENSG00000137959_IFI44L	1	1356	8	37	30	7	15	10	5	962	394	30	7	1;1;1;1;4;2228;5;2;1;1;192;1;1;77;1;7;1;1;1;733;5;1074;1;1;2;651;6;16;3;1	4;1;1;4;1;41;1
ENSG00000145604_SKP2	5	1305	11	16	5	11	22	13	9	995	274	5	11	1;1;1;1;1	1;1;2;1;1;5;1;5;312;1;1
ENSG00000105379_ETFB	19	1038	5	34	23	11	36	22	14	365	82	23	11	1;1;1;3;1;14;1;1;2102;11;1;2;1;1;2;1;6;387;4;1;1;1;1	1;64;1;3;3;1;1;1;86;6;1
ENSG00000027869_SH2D2A	1	1197	8	31	21	10	6	4	2	868	299	21	10	1;2;5;1;1;1;23;1;1;1;2;1;1;1;1;1;1;2035;3;2;9	1;3;5;1;1;1;1;1;14;2
ENSG00000198739_LRRTM3	10	1743	3	23	13	10	3	0	3	1220	524	13	10	2;1;2;1;1;1;1;2;3;1;1;164;1	2;1;185;4;1;1;1;1;1;2
