Bos_taurus	Capra_hircus	Ovis_aries	Homo_sapiens	Chlorocebus_sabaeus	name
ENSBTAT00000005632	XM_013967869.2	ENSOART00000015648	ENST00000373764	ENSCSAT00000011432	ENSG00000185681_MORN5
ENSBTAT00000001989	XM_005677337.3	ENSOART00000006779	ENST00000313146	ENSCSAT00000000194	ENSG00000143319_ISG20L2
ENSBTAT00000003766	XM_005693206.3	ENSOART00000007578	ENST00000268876	ENSCSAT00000004342	ENSG00000141161_UNC45B
ENSBTAT00000015873	XM_005698316.3	ENSOART00000013513	ENST00000370508	ENSCSAT00000003756	ENSG00000120053_GOT1
ENSBTAT00000044994	XM_005674708.3	ENSOART00000001102	ENST00000399899	ENSCSAT00000018794	ENSG00000156284_CLDN8
ENSBTAT00000039552	XM_018058943.1	ENSOART00000009933	ENST00000263314	ENSCSAT00000003984	ENSG00000109991_P2RX3
ENSBTAT00000027635	XM_013976202.2		ENST00000218004	ENSCSAT00000006910	ENSG00000101888_NXT2
ENSBTAT00000008135	XM_005695611.3	ENSOART00000005414	ENST00000256458	ENSCSAT00000008125	ENSG00000134070_IRAK2
ENSBTAT00000065044	XM_018045070.1	ENSOART00000001545	ENST00000358927	ENSCSAT00000004903	ENSG00000126895_AVPR2
ENSBTAT00000000433	XM_018054527.1	ENSOART00000021447	ENST00000321760	ENSCSAT00000014716	ENSG00000179636_TPPP2
ENSBTAT00000018411	XM_018065720.1	ENSOART00000004307	ENST00000239223	ENSCSAT00000007678	ENSG00000120129_DUSP1
ENSBTAT00000064159	XM_018040728.1	ENSOART00000012904	ENST00000265753	ENSCSAT00000016290	ENSG00000106682_EIF4H
ENSBTAT00000011136	XM_018038485.1	ENSOART00000001292	ENST00000448498	ENSCSAT00000012522	ENSG00000144671_SLC22A14
ENSBTAT00000016291	XM_013964033.2	ENSOART00000022428	ENST00000265593	ENSCSAT00000011813	ENSG00000114859_CLCN2
	XM_018042525.1		ENST00000366676	ENSCSAT00000008690	ENSG00000135801_TAF5L
ENSBTAT00000025826	XM_018055164.1	ENSOART00000008340	ENST00000294964	ENSCSAT00000010569	ENSG00000162878_PKDCC
ENSBTAT00000036631	XM_018052141.1	ENSOART00000012920	ENST00000314888	ENSCSAT00000008620	ENSG00000137076_TLN1
ENSBTAT00000028802	XM_013964330.2	ENSOART00000014970	ENST00000215886	ENSCSAT00000005403	ENSG00000100079_LGALS2
ENSBTAT00000014026	XM_005681372.3	ENSOART00000014941	ENST00000273990	ENSCSAT00000002113	ENSG00000145358_DDIT4L
ENSBTAT00000043194	XM_018053183.1	ENSOART00000016940	ENST00000446818	ENSCSAT00000008017	ENSG00000131374_TBC1D5
ENSBTAT00000001224	XM_005680551.3	ENSOART00000018125	ENST00000360814	ENSCSAT00000001073	ENSG00000120820_GLT8D2
ENSBTAT00000011690	XM_018061221.1	ENSOART00000004598	ENST00000338101	ENSCSAT00000000338	ENSG00000089250_NOS1
ENSBTAT00000025329	XM_005678056.3	ENSOART00000019225	ENST00000370185	ENSCSAT00000017035	ENSG00000117600_PLPPR4
ENSBTAT00000000163	XM_018055448.1		ENST00000410022	ENSCSAT00000013084	ENSG00000169599_NFU1
